pollutant,scope,site,outcome,n,r2,coef,p_value,q_value_at_0.05,fdr_significant_q0.05,q_value_at_0.1,fdr_significant_q0.1
NOx,per_site,UW,severe_hypo_windows_per_day,711,0.0189925148009558,0.0330158079217933,0.3482450731598216,0.6846920469644542,False,0.6846920469644542,False
PM2.5,per_site,UCSD,moderate_hypo_mean_glucose,282,0.0455456394522032,-0.18106141308196,0.3494782323047735,0.6846920469644542,False,0.6846920469644542,False
PM2.5,per_site,UW,normal_windows_per_day,711,0.0475044458743224,0.0541878722509069,0.3580787032261219,0.693984950898834,False,0.693984950898834,False
PM2.5,per_site,UAB,severe_hypo_windows_per_day,715,0.0251494354785069,0.0126657524968175,0.3590408252914107,0.693984950898834,False,0.693984950898834,False
PM2.5,per_site,UW,glucose_cv_ratio,711,0.061956619983325,0.0017527383546704,0.3630176174597175,0.6943551510998649,False,0.6943551510998649,False
NOx,per_site,UCSD,moderate_hypo_windows_per_day,518,0.0221696578994911,-0.1551297553836829,0.3643375044108124,0.6943551510998649,False,0.6943551510998649,False
PM2.5,per_site,UW,severe_hyper_mean_glucose,243,0.1152573071157551,1.1341675831560103,0.3664652186360398,0.6943551510998649,False,0.6943551510998649,False
PM2.5,per_site,UAB,severe_hypo_fraction,715,0.0167283550026426,0.0008309290690962,0.3703623693595563,0.6968884802535369,False,0.6968884802535369,False
VOC,pooled,all,severe_hypo_mean_glucose,597,0.0259479804209781,0.6644005205758238,0.3727513777763953,0.6968884802535369,False,0.6968884802535369,False
NOx,per_site,UW,severe_hypo_minutes_per_day,711,0.0162927024628435,0.9118848190779304,0.3750615084697855,0.6968884802535369,False,0.6968884802535369,False
NOx,per_site,UCSD,severe_hyper_fraction,518,0.0499377180178671,0.0313348755443561,0.3834053413862878,0.7078252456362236,False,0.7078252456362236,False
NOx,per_site,UW,severe_hypo_fraction,711,0.0163133840201377,0.0006326251024523,0.3869166601213404,0.7097579497767265,False,0.7097579497767265,False
VOC,per_site,UAB,moderate_hypo_fraction,715,0.0221259771821875,0.0040023992565963,0.4014639460391684,0.731782382653674,False,0.731782382653674,False
VOC,per_site,UCSD,normal_mean_glucose,516,0.0660576449078775,4.228887165843747,0.4112659701983452,0.7438857696299515,False,0.7438857696299515,False
PM2.5,per_site,UAB,normal_windows_per_day,715,0.0298033065555595,0.0484268081703502,0.4132698720166397,0.7438857696299515,False,0.7438857696299515,False
VOC,per_site,UW,normal_minutes_per_day,711,0.0942747266374095,69.71795986741107,0.423027624520828,0.7550403752069867,False,0.7550403752069867,False
VOC,pooled,all,moderate_hyper_mean_glucose,1740,0.0348155763576351,1.3237539902634765,0.4298475566474722,0.7550403752069867,False,0.7550403752069867,False
